agentX,agentY,eDist
8,2,5.182636481
7,2,5.423998555
8,2,5.854257212
7,2,5.929894959
6,2,4.990765555
7,2,5.905477111
8,2,7.55703166
7,2,5.239404781
8,2,6.931492751
9,2,5.406810127
8,2,5.915641341
8,1,5.614381076
8,2,6.286601809
7,2,5.101227415
8,2,6.200685151
9,2,5.555161031
9,3,6.341698478
8,3,4.93583145
9,3,6.297167308
9,2,4.833059069
9,3,7.113948075
8,3,5.65843419
8,4,5.897026496
7,4,4.328709173
7,3,4.057303476
7,4,3.50679811
8,4,4.211366215
9,4,5.701905442
9,5,4.900781797
9,6,3.696303514
0,6,3.523153119
0,7,1.770052242
1,7,1.448177347
1,8,2.57939869
1,9,4.029360264
1,8,3.393292319
1,7,3.502783901
2,7,2.116783108
1,7,2.044282103
1,8,3.041782217
0,8,3.379783578
0,7,2.335907194
9,7,2.541676876
0,7,2.920875816
0,8,4.812443948
0,7,4.301349034
1,7,5.085350362
2,7,4.985693588
3,7,4.932851851
2,7,3.516955721
1,7,5.019711552
0,7,5.79886794
0,6,5.362316284
9,6,5.999723581
9,7,5.989026572
8,7,4.210731992
7,7,3.900289129
7,8,4.472449524
6,8,4.479053994
6,9,4.271929528
6,8,4.701450109
7,8,4.774104774
7,7,3.483090025
8,7,4.544874291
7,7,4.82939826
8,7,4.811345454
8,8,4.393265819
7,8,3.412853279
7,7,2.548716885
7,6,-0.39812276
7,7,1.918915054
8,7,3.138220364
8,8,2.301001529
8,7,2.169838198
7,7,1.637737356
7,6,2.03308101
8,6,3.280339391
8,5,3.341713187
9,5,2.75195891
9,6,3.254064407
9,5,3.35962818
9,4,4.419959792
9,5,1.691552006
9,6,-0.417471648
8,6,2.497674212
8,5,3.424103144
8,6,3.447662846
8,7,2.811312821
9,7,1.946843225
9,6,1.189436501
8,6,1.265497551
8,7,1.857372556
7,7,2.127057643
7,8,2.312154649
7,7,0.820035718
7,8,2.481648288
6,8,1.606208376
6,9,1.273811052
7,9,1.20673828
8,9,3.253915992
9,9,3.367039376
9,8,3.457311832
8,8,2.953921365
7,8,2.913289569
7,7,3.188441336
6,7,3.673032743
6,8,4.273159491
6,9,4.880357307
7,9,4.178380424
6,9,2.678965791
7,9,4.95089933
6,9,3.15275469
7,9,3.078931859
8,9,4.824646166
8,8,4.226312411
8,9,4.845099374
8,8,4.175436343
7,8,4.409597672
8,8,4.275044502
7,8,2.919935223
8,8,4.989805813
8,9,2.467397949
9,9,5.031972074
8,9,5.34269331
8,0,4.528161689
7,0,2.708262008
6,0,1.663272719
5,0,1.857831259
4,0,2.209240214
4,1,-0.095865972
4,0,1.823320081
4,1,1.635545132
4,0,0.939588928
5,0,2.583600726
5,1,1.823123923
5,2,1.474080696
5,3,2.225676623
5,2,3.141179581
6,2,4.298185391
7,2,5.287918096
6,2,4.571128494
6,3,2.945806259
6,2,2.666143458
7,2,3.171286727
7,1,3.342411752
7,2,3.087744918
8,2,3.236738168
7,2,1.506194195
8,2,1.16481261
8,3,2.715370193
8,4,4.656970127
7,4,4.845051989
7,3,5.399975411
6,3,3.863894931
7,3,5.458820938
7,2,4.194159503
8,2,4.319281831
8,3,4.500389376
9,3,5.854103515
8,3,5.740596021
8,2,5.583661081
9,2,5.167548683
8,2,5.065062323
9,2,5.642628586
9,3,5.673988772
9,4,4.318751302
9,3,5.995364664
8,3,3.961847393
7,3,4.595847238
6,3,3.026289254
5,3,2.984014634
6,3,2.925785199
5,3,0.77693407
4,3,1.606468874
3,3,1.722299292
3,4,-0.035100629
2,4,0.822524854
2,3,3.009753816
2,2,4.593806155
2,3,5.12451845
2,4,2.974850336
2,5,2.947039645
1,5,3.969581084
2,5,4.303775303
2,4,5.309195683
2,3,5.332796743
1,3,7.307323948
0,3,7.281954864
9,3,6.513250457
8,3,5.50667937
8,2,5.3006363
7,2,5.41499069
7,3,4.012790008
6,3,4.362875909
7,3,4.590949659
8,3,5.608606731
8,4,6.756393714
8,5,4.065443164
7,5,4.938840495
6,5,3.952850069
5,5,3.571583392
5,4,2.823973645
6,4,5.605309818
5,4,4.632047468
6,4,4.256272721
5,4,5.060238252
5,3,4.991075342
4,3,3.479515127
3,3,2.792182328
4,3,3.544098138
5,3,5.024037368
6,3,5.980288314
7,3,5.059118719
7,2,5.007985236
7,3,5.466352879
8,3,4.310599128
7,3,5.057920088
